tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,sidewalk,problems,trunk_wire,brch_shoe,address,borough
208240,106402,2015-09-07,2,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,11 WEST 81 STREET,Manhattan
208247,106402,2015-09-07,29,0,OnCurb,Alive,Fair,Ulmus americana,American elm,NoDamage,None,No,No,15 WEST 81 STREET,Manhattan
204203,415447,2015-09-05,11,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,StonesBranchOther,No,No,328 THOMAS STREET,Staten Island
203385,347979,2015-09-04,23,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,StonesBranchLights,No,No,92-018 70 AVENUE,Queens
196372,103300,2015-09-02,12,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,56 ALLEN STREET,Manhattan
192889,210568,2015-08-31,27,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,StonesBranchLights,No,No,3778 BEDFORD AVENUE,Brooklyn
203760,302373,2015-09-05,2,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,24-015 21 AVENUE,Queens
203767,302373,2015-09-05,14,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,None,No,No,20-038 CRESCENT STREET,Queens
208458,312916,2015-09-07,2,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,167-001 33 AVENUE,Queens
209919,108875,2015-09-08,9,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,2990 BROADWAY,Manhattan
198296,231792,2015-09-02,29,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,Stones,No,No,5402 BEVERLY ROAD,Brooklyn
204169,415381,2015-09-05,20,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,Damage,StonesWiresRopeBranchLights,Yes,No,190 WOLVERINE STREET,Staten Island
208338,106403,2015-09-07,5,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,NoDamage,None,No,No,424 COLUMBUS AVENUE,Manhattan
196131,206122,2015-09-02,29,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,Stones,No,No,2345 63 STREET,Brooklyn
196374,103300,2015-09-02,13,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,50 ALLEN STREET,Manhattan
208463,103960,2015-09-07,14,0,OnCurb,Alive,Good,Fraxinus,ash,NoDamage,None,No,No,725 9 AVENUE,Manhattan
201661,348116,2015-09-04,6,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,Damage,WiresRopeBranchOther,Yes,No,96-008 70 AVENUE,Queens
203769,302373,2015-09-05,3,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,20-024 CRESCENT STREET,Queens
208456,312916,2015-09-07,36,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,Stones,No,No,167-011 33 AVENUE,Queens
209921,108875,2015-09-08,3,0,OffsetFromCurb,Alive,Good,Platanus x acerifolia,London planetree,NoDamage,None,No,No,2966 BROADWAY,Manhattan
